idx,transaction_id,user_id,transaction_date,product_category,product_name,merchant_name,product_amount,transaction_fee,cashback,loyalty_points,payment_method,transaction_status,merchant_id,device_type,location,USD
918,15732cdc-9227-44ab-b128-fa52bb4496ca,USER__007,2024-12-28,Loan Repayment,Education Loan EMI,Bajaj Finserv,6463.26,24.39,24.09,391,Credit Card,Successful,MERCH_0384,Android,Suburban,77.85180000000001
919,5e255d39-185f-4413-a5ae-96f7a5855083,USER__132,2024-12-08,Gaming Credits,Legendary Weapon,Roblox,1336.64,39.51,52.83,355,Bank Transfer,Successful,MERCH_0892,Android,Suburban,16.5138
920,a15c4f6c-8106-409a-9b30-9603cbb08c8c,USER__147,2024-12-17,Electricity Bill,Residential Bill,Tata Power,7196.85,7.79,11.54,80,Bank Transfer,Successful,MERCH_0953,iOS,Urban,86.45568
921,b474de20-5fab-463a-ba35-559d6d4b978c,USER__125,2024-09-04,Gas Bill,Commercial Gas Connection,Gujarat Gas,7328.23,30.38,52.75,142,Debit Card,Successful,MERCH_0412,Web,Urban,88.30332
922,ee2dc79e-0b22-4e36-b4a5-1cf4d63f3697,USER__002,2024-09-26,Bus Ticket,Sleeper Class,MakeMyTrip Bus,9660.11,46.11,76.68,148,UPI,Successful,MERCH_0210,Android,Suburban,116.47464000000002
923,92f705ed-8f3d-4a0e-bbcf-fa04c3e9a945,USER__158,2025-01-02,Education Fee,IELTS Training,Vedantu,2528.45,28.92,7.8,782,Bank Transfer,Successful,MERCH_0059,iOS,Urban,30.68844
924,39ea71e9-0242-43a5-9f0d-175be8256783,USER__058,2024-11-25,Movie Ticket,Baahubali 2,SPI Cinemas,9931.78,24.22,52.31,791,Bank Transfer,Successful,MERCH_0293,Android,Urban,119.47200000000001
925,47401bf1-6a1b-4ad1-a653-3d81adc06bf8,USER__019,2024-11-26,Taxi Fare,Airport Transfer,Uber,6392.4,38.84,68.71,975,Debit Card,Successful,MERCH_0829,Android,Urban,77.17488
926,a8ced226-6633-4034-8c5e-bb57eb21e01a,USER__096,2024-09-21,Gaming Credits,Battle Pass,PUBG Mobile,7237.99,29.07,12.69,797,Debit Card,Successful,MERCH_0834,Android,Suburban,87.20472
927,71edaeff-7397-4f73-a1e8-33ff3d8e0f78,USER__074,2024-10-14,Rent Payment,1BHK Apartment Rent,NoBroker,7510.8,38.66,68.22,863,Debit Card,Successful,MERCH_0537,Android,Suburban,90.59352
929,168725dc-9b7a-4ff8-bf54-4d9ce807e19d,USER__180,2024-11-02,Education Fee,Digital Marketing Certification,BYJU'S,7510.8,25.93,11.21,826,Bank Transfer,Successful,MERCH_0343,Android,Urban,90.44076000000001
930,472ce9b0-5a3c-4ee2-b32c-cc89c8184c5f,USER__097,2024-10-21,Education Fee,Digital Marketing Certification,Unacademy,458.48,44.53,3.64,211,UPI,Successful,MERCH_0950,iOS,Urban,6.03612
931,d66f2bfb-90c7-423d-941a-e5fa2b859ce1,USER__120,2024-11-20,Education Fee,IELTS Training,Udemy,9946.68,39.9,3.19,549,UPI,Successful,MERCH_0084,Web,Urban,119.83896
932,9b88492f-97d2-4333-8d5f-c60e3082cf73,USER__180,2024-12-13,Hotel Booking,Service Apartment,Airbnb,9838.46,13.29,68.87,465,Debit Card,Successful,MERCH_0322,Android,Urban,118.221
933,51bfca3a-b60b-4ea7-ace9-ac99e4bfb6f3,USER__059,2024-10-19,Streaming Service,Standard Plan,Amazon Prime,9173.81,18.05,67.89,540,Wallet Balance,Successful,MERCH_0624,iOS,Urban,110.30231999999998
934,c34d0a84-ccfb-4af0-ba5a-46626e6b75cf,USER__133,2024-10-03,Insurance Premium,Health Insurance,LIC,786.68,48.24,56.69,379,Debit Card,Successful,MERCH_0013,Android,Suburban,10.01904
935,0c4f5080-dcac-4d1c-819f-176e7cce31c9,USER__034,2024-11-19,Education Fee,MBA Entrance Prep,Udemy,973.86,45.93,48.62,777,Bank Transfer,Successful,MERCH_0858,Android,Urban,12.23748
937,cc8c16aa-1fbd-4e71-9147-58522158cf72,USER__111,2024-11-25,Grocery Shopping,Dairy Milk Chocolate,Grofers,8432.83,9.97,1.15,223,Debit Card,Successful,MERCH_0708,Android,Urban,101.3136
938,426bca1b-356b-4edb-ab58-d088ede0c452,USER__014,2024-11-29,Movie Ticket,Avengers: Endgame,SPI Cinemas,229.61,47.93,9.2,495,Bank Transfer,Successful,MERCH_0382,Android,Urban,3.33048
939,82d4dffb-a3b9-40d9-8008-8dd6cd4092ff,USER__182,2024-12-15,Flight Booking,Ahmedabad to Jaipur,Cleartrip,5318.84,10.03,16.86,720,UPI,Successful,MERCH_0617,Android,Urban,63.94644
940,c2af923b-a93a-40a6-97df-817ab0d5df7b,USER__190,2024-11-27,Taxi Fare,Outstation Trip,Ola,4082.4,27.99,82.45,197,Credit Card,Successful,MERCH_0060,Android,Urban,49.32468000000001
941,6a107bc1-3707-4d1e-9226-02379e3613d7,USER__140,2024-11-05,Water Bill,Residential Connection,Delhi Jal Board,4580.9,27.77,93.28,554,UPI,Successful,MERCH_0588,Android,Urban,55.30404
942,4bdc0482-a6ef-45b2-baff-9bff8d680149,USER__025,2024-11-03,Electricity Bill,Residential Bill,Tata Power,3574.1,37.04,69.73,383,Bank Transfer,Successful,MERCH_0723,iOS,Urban,43.33368
943,25ccf0fc-2bd7-41c7-9cfc-958d94fa04f3,USER__089,2024-10-12,Gas Bill,Industrial Gas Supply,Bharat Gas,9007.27,15.79,27.98,556,Bank Transfer,Successful,MERCH_0410,Android,Urban,108.27672000000001
944,5ef81913-5302-4c8d-8052-39f17a2a083e,USER__161,2024-12-14,Electricity Bill,Industrial Bill,CESC,7559.52,13.29,86.35,630,Debit Card,Successful,MERCH_0589,iOS,Urban,90.87372
945,6be8bb25-b7a0-45a5-9050-05c053872d4c,USER__120,2024-10-14,Internet Bill,Student Special Plan,Hathway,1567.81,24.3,96.69,258,UPI,Successful,MERCH_0067,Android,Urban,19.10532
946,ad2e99ed-7fc5-440b-88a4-5cb7c70b4b31,USER__054,2024-11-22,Bus Ticket,AC Seater,RedBus,1950.43,21.73,57.14,721,Debit Card,Successful,MERCH_0884,iOS,Urban,23.66592
947,e43e1696-575b-4b3f-a163-42c87d89368a,USER__011,2024-11-25,Gift Card,Rs. 250 Coffee Shop Card,Lifestyle,2397.79,30.54,43.81,213,Wallet Balance,Successful,MERCH_0226,Android,Urban,29.13996
948,5f33ceab-d862-486f-8f13-493a9c88fa4e,USER__200,2024-09-23,Education Fee,Data Science Bootcamp,Udemy,914.97,24.91,81.12,774,Debit Card,Successful,MERCH_0256,Android,Urban,11.27856
949,17d01217-4bcd-4936-92b3-aca610915e69,USER__111,2024-12-09,Mobile Recharge,Postpaid Plan 599,Jio,7089.81,40.47,32.08,634,UPI,Successful,MERCH_0423,iOS,Urban,85.56336
951,9780fd0a-1eaf-404b-a2f3-3d9b972bda03,USER__175,2024-09-12,Water Bill,Industrial Use,Delhi Jal Board,2599.69,8.99,95.51,607,Bank Transfer,Successful,MERCH_0933,Android,Suburban,31.30416
952,8a4e5b51-c35d-45fc-a7a3-c62ef7c982f7,USER__081,2024-12-11,Loan Repayment,Business Loan Repayment,Bajaj Finserv,2099.73,30.56,32.16,87,Debit Card,Successful,MERCH_0113,Android,Urban,25.56348
953,3061ad35-4d40-4b63-bdef-f2a1c2dd048a,USER__045,2024-12-19,Insurance Premium,Home Insurance,Max Life,7765.34,11.61,63.43,954,Credit Card,Successful,MERCH_0575,iOS,Urban,93.3234
954,30104df4-821f-4dca-86ec-8e8923621eac,USER__072,2024-10-06,Water Bill,Residential Connection,Mumbai Water,1795.53,11.42,42.69,622,UPI,Successful,MERCH_0063,iOS,Urban,21.683400000000002
955,ddf39808-6c63-4a1b-b631-ac6effcbdb40,USER__179,2025-01-10,Streaming Service,Premium Plan,ZEE5,4181.45,44.35,80.13,224,UPI,Successful,MERCH_0151,iOS,Urban,50.7096
956,ffd2b6b9-85e7-471c-b4c9-90b3ef2b7d4c,USER__125,2024-12-28,Loan Repayment,Personal Loan Payment,SBI,406.26,28.9,58.59,148,UPI,Successful,MERCH_0134,iOS,Urban,5.22192
957,9a208b27-3f35-43f8-add3-e62070cd4a69,USER__200,2024-12-25,Gaming Credits,Battle Pass,Free Fire,6841.71,39.48,68.42,387,Credit Card,Successful,MERCH_0941,iOS,Suburban,82.57428
958,781a0e12-db87-4cea-9cfa-069cc53389ee,USER__128,2024-09-19,Electricity Bill,Agricultural Bill,CESC,7832.84,29.97,14.78,293,Credit Card,Successful,MERCH_0964,iOS,Rural,94.35372000000001
959,109031c9-e6b5-4cd4-a826-835fc74e0bab,USER__074,2024-10-08,Water Bill,Commercial Property,Mumbai Water,7525.92,19.67,36.96,530,UPI,Successful,MERCH_0294,Android,Urban,90.54708000000001
960,9fce9530-ec8c-42f1-b245-a953f60dfb0e,USER__163,2024-11-15,Taxi Fare,City Ride,Ola,2986.51,22.43,54.61,614,Credit Card,Successful,MERCH_0632,Android,Urban,36.10728
961,0eea6b50-f8da-4d54-a61a-6e2222d1a532,USER__039,2024-09-17,Streaming Service,Standard Plan,Netflix,4505.04,23.78,15.79,515,UPI,Successful,MERCH_0791,Android,Urban,54.345839999999995
962,c31c5e0b-2df1-4b92-8e54-217c5e29fba0,USER__100,2024-10-11,Gas Bill,Auto LPG,Gujarat Gas,138.06,24.98,44.06,183,Wallet Balance,Successful,MERCH_0201,iOS,Urban,1.95648
963,d8d652b5-8f8a-483f-bac4-8fe1e56691bd,USER__117,2024-12-01,Flight Booking,Ahmedabad to Jaipur,Yatra,2565.64,12.4,47.32,17,Credit Card,Successful,MERCH_0317,Android,Urban,30.93648
964,89cb56f0-5b4b-4c1a-a00e-fd0e97637da4,USER__131,2024-09-22,Food Delivery,Masala Dosa,Domino's,6092.77,31.47,37.11,176,Credit Card,Successful,MERCH_0043,Android,Urban,73.49088
965,11c9dece-2907-4793-9ad6-461ef2b0eb99,USER__178,2024-12-28,Gas Bill,Piped Natural Gas,Mahanagar Gas,2926.12,35.2,15.47,261,Bank Transfer,Successful,MERCH_0196,Android,Rural,35.53584
966,783ddccd-7a93-45c9-b253-8f7558d9e465,USER__105,2024-09-24,Gas Bill,Domestic LPG Cylinder,Gujarat Gas,1721.93,14.3,11.94,9,UPI,Successful,MERCH_0961,iOS,Rural,20.83476
967,9899fbca-3c68-4ff4-bea0-503b314d3bbf,USER__143,2024-09-19,Gas Bill,Domestic LPG Cylinder,Adani Gas,3868.1,3.13,24.91,310,Bank Transfer,Successful,MERCH_0078,Android,Urban,46.45476
968,0cfe9cd0-9ea2-4806-87af-5071fb1164d3,USER__018,2024-11-19,Education Fee,IELTS Training,Coursera,5411.69,4.65,42.43,676,Bank Transfer,Successful,MERCH_0999,Android,Urban,64.99607999999999
969,45694d52-6698-4b78-947f-dae8d9fe555c,USER__051,2024-11-22,Insurance Premium,Term Life Policy,LIC,3047.71,18.76,2.24,897,Credit Card,Successful,MERCH_0866,Android,Rural,36.79764
970,13e19d08-b0ac-4421-8363-10df44be0394,USER__161,2024-10-01,Taxi Fare,Outstation Trip,Uber,153.37,43.41,59.95,515,Credit Card,Successful,MERCH_0245,Android,Urban,2.36136
972,3ed4abed-60ed-40b8-b9b6-58891e519163,USER__067,2024-11-18,Grocery Shopping,Dairy Milk Chocolate,Flipkart Supermart,185.3,2.05,96.03,245,Bank Transfer,Successful,MERCH_0936,Android,Suburban,2.2482
973,6746d854-98a5-4098-817c-27c766d9470a,USER__154,2024-11-07,Streaming Service,Basic Plan,Amazon Prime,9572.78,21.39,30.14,545,Wallet Balance,Successful,MERCH_0390,Android,Urban,115.13004000000001
974,c98a2035-a812-49aa-8405-bf27bda6ab64,USER__177,2024-12-08,Flight Booking,Bangalore to Kolkata,Ixigo,8181.77,39.35,78.6,284,Bank Transfer,Successful,MERCH_0228,Android,Suburban,98.65344000000002
975,e22edc04-5b8f-43bc-b19a-2e5eef37a2ff,USER__004,2024-12-15,Education Fee,MBA Entrance Prep,Unacademy,1890.21,48.02,23.37,453,UPI,Successful,MERCH_0048,Android,Urban,23.258760000000002
976,3b5adf44-f412-4602-b7da-c6cc91fc03e3,USER__192,2024-11-27,Gift Card,Rs. 500 E-Gift Card,Shoppers Stop,6944.61,5.54,60.77,338,Debit Card,Successful,MERCH_0868,Android,Urban,83.4018
977,22758c91-67ea-4d7e-b322-6b8a83b84af4,USER__073,2024-09-10,Education Fee,Python Programming Course,Vedantu,1237.45,8.65,38.59,334,Bank Transfer,Successful,MERCH_0471,Android,Urban,14.953200000000002
978,8d564eb8-d9b1-457a-8444-8dad99031130,USER__075,2024-12-30,Insurance Premium,Health Insurance,ICICI Prudential,4040.27,40.35,42.61,149,Credit Card,Successful,MERCH_0504,iOS,Urban,48.967439999999996
979,99096660-b22a-48b1-862f-55dc05a28752,USER__052,2024-09-10,Gaming Credits,Legendary Weapon,Free Fire,9785.35,46.66,27.73,965,Wallet Balance,Successful,MERCH_0155,Android,Urban,117.98412
980,020c71b2-0d68-4d74-9d76-9bab6141a330,USER__016,2024-09-02,Online Shopping,Steel Toe Shoes,Flipkart,433.1,36.63,96.47,455,Wallet Balance,Successful,MERCH_0972,iOS,Urban,5.636760000000001
981,a43beec9-734f-4d67-b653-4484e069d2b0,USER__061,2024-12-16,Movie Ticket,Dangal,INOX,814.34,27.63,61.67,911,UPI,Successful,MERCH_0582,Android,Urban,10.10364
982,110a883b-6b0d-45e2-a5b1-8805024e8ea9,USER__196,2024-11-09,Grocery Shopping,Whole Wheat Atta,Amazon Pantry,1271.84,19.11,68.71,896,Credit Card,Successful,MERCH_0263,Android,Urban,15.491399999999999
983,939b6448-db69-4462-ae5f-8eb1402bcbda,USER__063,2024-11-29,Bus Ticket,AC Seater,Paytm Bus,6090.64,42.4,3.24,721,Debit Card,Successful,MERCH_0511,Android,Urban,73.59648
984,095eb8de-9dab-4ddf-8a47-821a8b38d48f,USER__124,2024-09-29,Mobile Recharge,Annual Plan 2999,Vodafone,4800.57,15.55,98.36,876,Debit Card,Successful,MERCH_0408,Android,Urban,57.79344
985,e1cc6b4b-aaf8-45eb-9cf8-26b888ba657b,USER__113,2024-09-26,Insurance Premium,Term Life Policy,SBI Life,1563.61,5.89,31.81,426,Credit Card,Successful,MERCH_0384,Android,Urban,18.834
986,3ce2b783-22a2-4ff2-85ac-428e096e8b13,USER__050,2024-09-12,Electricity Bill,Agricultural Bill,Reliance Energy,2444.75,41.21,52.03,426,Wallet Balance,Successful,MERCH_0517,Web,Rural,29.83152
987,4cb022ea-8c38-42f2-8487-7df996cf0e7e,USER__182,2024-10-30,Education Fee,Digital Marketing Certification,Coursera,2781.1,37.03,39.37,135,Wallet Balance,Successful,MERCH_0469,Android,Urban,33.81756
988,71c0f196-f735-4c1d-8ea0-3c366cca176d,USER__135,2024-12-23,Flight Booking,Pune to Goa,Cleartrip,2172.44,20.7,58.83,598,Debit Card,Successful,MERCH_0460,iOS,Rural,26.31768
989,168a5664-61e1-4e39-a1cf-5cd47487043c,USER__020,2024-12-29,Education Fee,Digital Marketing Certification,Udemy,2835.08,0.34,21.8,387,Credit Card,Successful,MERCH_0354,Android,Urban,34.025040000000004
990,e0a84e68-3cd8-416e-89bc-dd424ad5dac5,USER__040,2024-12-21,Grocery Shopping,Refined Sunflower Oil,Nature's Basket,8300.38,20.89,73.88,137,Wallet Balance,Successful,MERCH_0157,Android,Urban,99.85523999999998
991,0c1a796a-050a-4789-afed-e28588070f20,USER__171,2024-10-06,Taxi Fare,Rental Package,Rapido,164.45,1.16,18.0,351,UPI,Successful,MERCH_0682,Android,Rural,1.9873199999999998
992,6678a8d5-2dba-4f0f-9cf6-43d161bc5fb1,USER__028,2024-09-03,Food Delivery,Butter Chicken,Zomato,8184.49,26.35,39.92,284,Bank Transfer,Successful,MERCH_0623,Android,Urban,98.53008
993,bafce991-475a-46fe-ae8f-5c0df16b1e66,USER__112,2024-10-04,Movie Ticket,3 Idiots,PVR Cinemas,6944.49,32.58,56.84,377,Wallet Balance,Successful,MERCH_0102,Web,Urban,83.72484
994,43b737f4-cafa-45ed-8228-ceb8e65c9b0f,USER__005,2024-11-20,Education Fee,Python Programming Course,Unacademy,3613.09,9.5,31.75,77,Bank Transfer,Successful,MERCH_0107,Android,Urban,43.47108
995,2cea2362-be39-4157-8236-aacf8c37dbe7,USER__068,2024-10-02,Gas Bill,Auto LPG,Bharat Gas,892.1,29.29,89.88,685,Debit Card,Successful,MERCH_0083,iOS,Suburban,11.05668
996,a404971a-0a58-45d1-b491-9c0affe18da7,USER__174,2024-11-18,Electricity Bill,Industrial Bill,Tata Power,105.35,34.93,12.36,502,Credit Card,Successful,MERCH_0335,iOS,Urban,1.68336
997,5cddf408-d758-44d7-8281-855db2cc530b,USER__033,2024-10-08,Loan Repayment,Personal Loan Payment,ICICI Bank,6594.01,48.55,27.34,64,UPI,Successful,MERCH_0601,Web,Urban,79.71072000000001
998,b0b5a0f6-6cf7-4403-be7a-1f7a477fabfd,USER__007,2024-10-11,Rent Payment,PG Accommodation,Nestaway,1711.34,33.38,42.53,829,Bank Transfer,Successful,MERCH_0288,iOS,Suburban,20.93664
999,5a89d505-8229-46b6-b8ef-b180e2aa9b3c,USER__197,2024-10-29,Taxi Fare,City Ride,Jugnoo,6430.5,23.47,65.25,360,Credit Card,Successful,MERCH_0561,iOS,Rural,77.44764
1000,d7ba365c-484e-4069-a340-be02ee6d5924,USER__175,2024-12-27,Hotel Booking,Service Apartment,Airbnb,9819.47,46.31,92.98,124,UPI,Successful,MERCH_0599,Android,Suburban,118.38935999999998
1001,20b478ed-ffa6-4ba1-94d2-80f1c5c23334,USER__077,2024-09-24,Gift Card,Rs. 5000 Luxury Card,Shoppers Stop,8783.28,7.56,8.44,440,Wallet Balance,Successful,MERCH_0304,iOS,Urban,105.49008
1002,ebb09e73-90ad-4f93-a1e7-85c9459d967b,USER__177,2025-01-07,Gaming Credits,Legendary Weapon,PUBG Mobile,6015.97,48.07,12.35,66,UPI,Successful,MERCH_0910,iOS,Suburban,72.76848
1003,6a3d42da-2689-485b-8ab2-1828d88641fc,USER__166,2024-11-17,Online Shopping,Laptop Backpack,Nykaa,3735.59,16.43,73.6,982,Debit Card,Successful,MERCH_0009,Android,Urban,45.02424
1004,5bd1f953-0473-4ab1-bc6c-048ac2774f90,USER__058,2024-10-16,Gift Card,Rs. 500 E-Gift Card,Flipkart,9086.85,15.35,56.53,125,Credit Card,Successful,MERCH_0550,Android,Rural,109.22640000000001
1005,9bec1c36-86cf-4dbb-9850-d8a24d92b0e6,USER__028,2024-10-13,Internet Bill,4G Unlimited Plan,Jio Fiber,1494.89,7.51,68.35,642,Debit Card,Successful,MERCH_0398,Android,Urban,18.0288
1006,1f928a98-8e53-4bdb-ac75-28a42c4071c3,USER__122,2025-01-04,Gift Card,Rs. 1000 Shopping Voucher,Pantaloons,5069.05,36.26,49.98,689,Credit Card,Successful,MERCH_0563,Android,Urban,61.263720000000006
1007,06e3ea22-4d22-481a-80f5-8697fcfdea69,USER__001,2024-10-24,Insurance Premium,Travel Insurance,SBI Life,8877.71,18.32,10.87,940,Bank Transfer,Successful,MERCH_0320,iOS,Rural,106.75235999999998
1008,cdea96b2-0634-4f26-a7b7-70db64488bc3,USER__118,2024-09-25,Food Delivery,Vegetable Biryani,Uber Eats,1015.66,4.85,58.91,470,Bank Transfer,Successful,MERCH_0900,Web,Urban,12.24612
1009,2001e3d2-dfd8-4017-bec7-50d3cfe5b48b,USER__079,2024-11-02,Online Shopping,Wireless Earbuds,Myntra,6102.61,9.57,36.25,188,UPI,Successful,MERCH_0139,Web,Urban,73.34616
1010,318fdbbf-78d9-4482-8823-6210e16bcbcb,USER__006,2024-11-25,Insurance Premium,Term Life Policy,Max Life,5129.26,45.09,81.4,941,Credit Card,Successful,MERCH_0155,Web,Suburban,62.092200000000005
1011,60969ae0-ecfb-417a-906a-d70e28217aa8,USER__100,2024-12-11,Gas Bill,Commercial Gas Connection,Gujarat Gas,6573.44,14.22,92.4,729,Bank Transfer,Successful,MERCH_0108,Android,Urban,79.05192
1012,ff9b1bc2-400f-4c50-8ea1-306296aebeb2,USER__096,2024-11-25,Electricity Bill,Temporary Connection Bill,BSES,6466.15,40.39,27.64,257,UPI,Successful,MERCH_0722,Android,Urban,78.07848
1013,d738091e-c37d-4941-ae1e-5e02a7cf26d6,USER__078,2024-09-16,Water Bill,Tanker Supply,Delhi Jal Board,1563.58,44.79,15.16,712,Bank Transfer,Successful,MERCH_0109,Android,Rural,19.30044
1014,064a9f1d-21ec-48ab-bf83-40541313a1b0,USER__108,2024-11-21,Taxi Fare,City Ride,Ola,6365.09,1.13,1.14,244,UPI,Successful,MERCH_0996,Android,Suburban,76.39464000000001
1015,c6eb4a2b-cff6-4280-bc1a-d78c75bfa0f5,USER__153,2024-12-03,Bus Ticket,AC Seater,Paytm Bus,276.98,46.86,25.52,801,Debit Card,Successful,MERCH_0927,Android,Urban,3.8860800000000006
1016,9c9e7d94-b550-4cdd-9376-98a0937200d5,USER__025,2024-12-20,Gas Bill,Domestic LPG Cylinder,Bharat Gas,9157.01,31.25,34.84,327,Credit Card,Successful,MERCH_0434,iOS,Suburban,110.25912000000001
1017,3ea1d33b-0c89-41cf-bc2e-41be2f617ad5,USER__075,2024-12-27,Streaming Service,Standard Plan,Hotstar,5468.22,41.96,82.07,135,UPI,Successful,MERCH_0642,Web,Urban,66.12216000000001
1018,30325c7b-af91-4359-935c-af527a5d147f,USER__186,2024-11-06,Bus Ticket,Semi-Sleeper,Goibibo,4947.91,23.73,74.49,649,Credit Card,Successful,MERCH_0805,Android,Suburban,59.659679999999994
1019,c2126349-1cb0-4aab-ae6b-361b6b2fd9fe,USER__166,2024-12-07,Streaming Service,Standard Plan,Amazon Prime,7216.45,37.06,7.09,542,UPI,Successful,MERCH_0191,iOS,Suburban,87.04212000000001
1020,c269ec0a-846e-495a-a381-25356a0353d6,USER__067,2024-12-19,Food Delivery,Butter Chicken,Swiggy,399.5,19.13,74.33,738,Credit Card,Successful,MERCH_0096,Android,Urban,5.02356
1021,fd819f55-2b7a-4cd2-9cc7-b64f0bf1a96d,USER__089,2024-09-10,Taxi Fare,Rental Package,Meru,365.87,45.74,75.68,933,Bank Transfer,Successful,MERCH_0625,iOS,Urban,4.93932
1022,b13c3776-8ff3-444f-8227-0150ed0d568d,USER__128,2024-11-09,Grocery Shopping,Refined Sunflower Oil,Amazon Pantry,923.34,15.49,31.92,669,UPI,Successful,MERCH_0787,Android,Urban,11.265960000000002
1023,07763802-c619-43f9-8061-02678a1d00b4,USER__096,2025-01-10,Education Fee,MBA Entrance Prep,Vedantu,4049.12,35.77,52.55,186,UPI,Successful,MERCH_0063,iOS,Rural,49.018679999999996
1024,4b84e916-f4ef-41bd-9132-655f13b0e189,USER__087,2024-09-13,Internet Bill,Student Special Plan,Jio Fiber,7499.97,39.18,7.7,622,UPI,Successful,MERCH_0178,Android,Urban,90.4698
1025,0763ca2e-24ee-4d5e-bebc-c8df977fda35,USER__104,2024-09-13,Online Shopping,Laptop Backpack,Amazon,1785.23,22.72,39.86,93,UPI,Successful,MERCH_0909,Android,Urban,21.6954
1026,9a011572-a1ea-4c84-a0a3-cfda010fbbac,USER__160,2024-11-12,Bus Ticket,Semi-Sleeper,MakeMyTrip Bus,4671.72,48.95,31.91,594,Credit Card,Successful,MERCH_0790,Android,Urban,56.64804
1027,9a61b969-b9c9-4410-ae55-f4c6b75d0dec,USER__101,2024-10-26,Loan Repayment,Home Loan EMI,Axis Bank,1988.79,25.96,38.73,556,Bank Transfer,Successful,MERCH_0781,Android,Urban,24.177
1028,6089de71-d29e-4c80-9e0f-f83fd95f8237,USER__131,2024-10-15,Taxi Fare,City Ride,Uber,5536.24,10.4,70.84,869,Debit Card,Successful,MERCH_0587,iOS,Suburban,66.55968
1029,31c3280d-c6b7-4321-acf5-771e64d224c5,USER__058,2024-10-08,Streaming Service,Basic Plan,Netflix,7322.1,21.79,85.25,441,UPI,Successful,MERCH_0185,Android,Suburban,88.12668000000001
1030,595cbf43-fd7e-48d8-861d-1770001720b4,USER__123,2024-09-13,Gaming Credits,Legendary Weapon,Call of Duty Mobile,1224.97,49.46,92.9,406,Wallet Balance,Successful,MERCH_0595,iOS,Urban,15.29316
1031,fd7b41b3-73e5-44d1-8d07-89b7f47fc77a,USER__128,2024-12-05,Food Delivery,Vegetable Biryani,Zomato,2503.71,19.92,64.65,298,Credit Card,Successful,MERCH_0144,iOS,Urban,30.28356
1032,2e07c231-e412-4fb2-a8f7-a460387d516f,USER__028,2024-11-08,Streaming Service,Basic Plan,Hotstar,6089.62,42.99,57.79,280,Debit Card,Successful,MERCH_0848,iOS,Urban,73.59132
1033,d0e9e247-1d23-4e1f-b40b-4e57c34d9c73,USER__010,2024-11-25,Electricity Bill,Commercial Bill,Reliance Energy,2259.71,47.48,96.74,39,Debit Card,Successful,MERCH_0771,iOS,Urban,27.68628
1034,7805f568-1620-46e4-a1bd-55c6ab5440b1,USER__070,2024-12-24,Hotel Booking,Deluxe Room,Fab Hotels,6863.54,45.37,98.42,617,Debit Card,Successful,MERCH_0921,Web,Urban,82.90692
1035,47e2c021-09ae-4ceb-bbd2-ad1ad7389b2a,USER__049,2025-01-09,Education Fee,Python Programming Course,Coursera,1639.65,43.28,66.41,313,UPI,Successful,MERCH_0244,iOS,Urban,20.19516
1036,323c972e-d9ae-48e1-bd03-981a8319c15d,USER__031,2024-10-04,Rent Payment,Commercial Space Rent,Airbnb,4446.71,8.38,65.12,457,Credit Card,Successful,MERCH_0525,Android,Urban,53.46108
1037,62c6abd4-b5bc-4731-aa9d-4de3b689eaa6,USER__019,2024-10-13,Food Delivery,Vegetable Biryani,Domino's,7976.11,36.86,60.64,571,Debit Card,Successful,MERCH_0978,Android,Urban,96.15563999999999
1038,2c6be77d-7dc3-47da-8111-98e73412b5ef,USER__019,2024-12-06,Mobile Recharge,Postpaid Plan 599,Vodafone,5279.0,25.38,71.29,184,Credit Card,Successful,MERCH_0836,Web,Urban,63.65256
1039,f0c4ab70-70c5-4547-9513-c139dbc2050e,USER__114,2025-01-10,Bus Ticket,Semi-Sleeper,AbhiBus,1813.84,3.19,74.56,617,UPI,Successful,MERCH_0141,Android,Urban,21.80436
1040,3d71f8b7-95a6-4ce5-bbb7-bce0370cc826,USER__152,2024-10-10,Rent Payment,PG Accommodation,NoBroker,7302.81,20.08,85.09,781,Debit Card,Successful,MERCH_0026,Android,Suburban,87.87468000000001
1041,6275ba9c-625d-4112-8463-2cb7d093b8b7,USER__071,2024-12-29,Mobile Recharge,Annual Plan 2999,Idea,9056.36,24.72,33.2,487,Debit Card,Successful,MERCH_0639,Android,Suburban,108.97296
1042,ee5dbacb-77dc-45bf-a311-639806ad31d0,USER__006,2024-10-23,Food Delivery,Chilli Paneer,Foodpanda,3335.7,46.5,97.69,552,Credit Card,Successful,MERCH_0431,iOS,Urban,40.5864
1043,45354c3a-d356-4805-8338-3ea050ea56ed,USER__091,2024-09-11,Gift Card,Rs. 500 E-Gift Card,Amazon Pay,6072.82,17.98,8.87,799,Credit Card,Successful,MERCH_0946,Android,Urban,73.08959999999999
1044,9ffbce7d-aee4-49f1-ad5b-96d9aedd8b2d,USER__056,2024-11-05,Insurance Premium,Travel Insurance,ICICI Prudential,1947.86,34.97,5.4,95,Bank Transfer,Successful,MERCH_0615,Android,Urban,23.79396
1045,0d5c0047-2163-42b1-a40d-2d3e469b156d,USER__140,2024-09-17,Online Shopping,Wireless Earbuds,Amazon,480.92,9.18,5.23,639,Credit Card,Successful,MERCH_0550,Android,Suburban,5.881200000000001
